"Latest: Time (s)","Latest: Temperature (°C)"
284,19.5485359473
284.5,19.5219665782
285,19.5057276791
285.5,19.4924401396
286,19.4747217812
286.5,19.4496175564
287,19.4333716296
287.5,19.4126926956
288,19.3934885144
288.5,19.3846242925
289,19.3668944171
289.5,19.353595755
290,19.3269951916
290.5,19.3077809785
291,19.2929992712
291.5,19.2796945841
292,19.2530819298
292.5,19.2368164812
293,19.2220282834
293.5,19.2042806478
294,19.1924477984
294.5,19.1761761996
295,19.1569439869
295.5,19.1347500803
296,19.1229120595
296.5,19.105153366
297,19.0859125245
297.5,19.0637086273
298,19.0459432449
298.5,19.0340985351
299,19.0178105904
299.5,19.0030018887
300,18.9837484647
300.5,18.9615299999
301,18.9437529252
301.5,18.928937128
302,18.9156016885
302.5,18.899301242
303,18.8770705588
303.5,18.863730593
304,18.8400122076
304.5,18.8266689854
305,18.8177728502
305.5,18.801461908
306,18.7851492004
306.5,18.7629017459
307,18.7510350871
307.5,18.7362004398
308,18.7198806249
308.5,18.6991073644
309,18.6798153062
309.5,18.6590364322
310,18.6397391449
310.5,18.6323164382
311,18.6204393282
311.5,18.6011369745
312,18.5803469783
312.5,18.5625246254
313,18.5447000911
313.5,18.5328158535
314,18.5194449219
314.5,18.4956713253
315,18.4778385574
315.5,18.4659488181
316,18.452571685
316.5,18.4406798525
317,18.422840251
317.5,18.4020245652
318,18.3826929895
318.5,18.3707953277
319,18.3559218462
319.5,18.3395592105
320,18.3187312942
320.5,18.2993883269
321,18.2874836382
321.5,18.2726013554
322,18.2592059472
322.5,18.2428320362
323,18.2294337687
323.5,18.2071004532
324,18.1892312111
324.5,18.1728490446
325,18.1609335206
325.5,18.1490169662
326,18.1281605112
326.5,18.1102810263
327,18.0938894468
327.5,18.0834574175
328,18.0655720816
328.5,18.0551378836
329,18.0402304961
329.5,18.0193573994
330,18.0014636096
330.5,17.9865503053
331,17.9731269193
331.5,17.9567187377
332,17.9358326937
332.5,17.9209120946
333,17.9044975093
333.5,17.8836032929
334,17.8746476233
334.5,17.8641985782
335,17.8492699415
335.5,17.8283670184
336,17.8119409699
336.5,17.792525724
337,17.7820701721
337.5,17.7716137867
338,17.7521925692
338.5,17.7342627288
339,17.722308132
339.5,17.7028795691
